Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
f0_creak,0.3329473629627328,0.16342975708166554,0.1906488710733522,0.4679152998637415,eng,odm115,pen,mono,,,0.3268595141633311
vowel_periph,0.22846774965166378,0.09946882442068372,0.1572285414135202,0.2929745295314789,eng,odm115,pen,mono,,,0.19893764884136744
spec_dur,0.4112146380934741,0.11744103366771488,0.33025494549480905,0.491018974063015,eng,onj010,pen,mono,,,0.23488206733542977
f0_creak,0.3038298685828384,0.11285682504928164,0.22063489718651574,0.37730770170216893,eng,onj010,pen,mono,,,0.22571365009856328
vowel_periph,0.28495549332368747,0.10573396225086405,0.21226026482812071,0.35540061738280976,eng,onj010,pen,mono,,,0.2114679245017281
spec_dur,0.31229679807115235,0.12287388561208515,0.22687394179557202,0.3988808084855017,cat,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.2457477712241703
f0_creak,0.39616481160255423,0.13508059283813473,0.2961490239080846,0.48337795393433547,cat,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.27016118567626946
vowel_periph,0.2915383903262933,0.11910117742827772,0.2052650544133405,0.3746191226539509,cat,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.23820235485655544
spec_dur,0.3728080898214242,0.13515219501438613,0.2770393409496896,0.4596797199426566,eng,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.27030439002877227
f0_creak,0.32632914381086475,0.13412283283810394,0.23433562525953847,0.41461153053147537,eng,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.2682456656762079
vowel_periph,0.30086276636771103,0.11651567915812244,0.21918103992182017,0.37556189143747193,eng,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.23303135831624489
spec_dur,0.32409216797601503,0.14465224418886102,0.2193464324973778,0.430606784841949,spa,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.28930448837772205
f0_creak,0.31103417496494584,0.1412963456833662,0.21021528721462668,0.41027279917457016,spa,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.2825926913667324
vowel_periph,0.3648736570590391,0.15899299072089304,0.2419311157472392,0.46890779451073794,spa,orx026,pen,l1_eng,5.320338552142507,-0.5967981267259689,0.3179859814417861
spec_dur,0.39505131970046764,0.12082254555199903,0.31275197016105044,0.4767116905343925,eng,osl017,pen,mono,,,0.24164509110399807
f0_creak,0.3116220579623748,0.10670694275102549,0.24150537291473578,0.37997296894835053,eng,osl017,pen,mono,,,0.21341388550205098
vowel_periph,0.2933266223371576,0.11732686093185787,0.21176587778078634,0.3678188931005184,eng,osl017,pen,mono,,,0.23465372186371575
spec_dur,0.3539147376764852,0.10593523734180149,0.2770838093335069,0.4296348282303578,eng,rrl106,pen,mono,,,0.21187047468360298
f0_creak,0.3269340200796654,0.10705371776835744,0.25971901681826337,0.40164756405157953,eng,rrl106,pen,mono,,,0.21410743553671488
